column_name,exists,dtype,missing_count,missing_percentage,unique_count,min_value,max_value,example_values
arrival_time,True,datetime64[ns],0,0.0,12611,2018-04-25 13:45:10,2018-11-26 18:51:09,2018-04-25 13:45:10 | 2018-04-25 13:45:50 | 2018-04-25 14:37:06 | 2018-04-25 14:40:34 | 2018-04-25 14:43:50
departure_time,True,datetime64[ns],0,0.0,12619,2018-04-25 18:15:46,2018-11-27 01:29:19,2018-04-26 00:56:16 | 2018-04-25 23:04:45 | 2018-04-25 23:55:34 | 2018-04-25 23:03:12 | 2018-04-26 01:17:30
done_time,True,datetime64[ns],6,0.0474,12600,2018-04-25 14:51:44,2018-11-27 00:24:49,2018-04-25 16:44:15 | 2018-04-25 14:51:44 | 2018-04-25 16:05:22 | 2018-04-25 17:40:30 | 2018-04-25 16:18:28
energy_kwh,True,float64,0,0.0,8324,0.501,61.55,10.013 | 5.257 | 5.177 | 10.119 | 7.91
kWhRequested,True,float64,12645,100.0,0,,,
minutesAvailable,True,float64,12645,100.0,0,,,
requestedDeparture,True,datetime64[ns],12645,100.0,0,,,
stationID,True,object,0,0.0,54,,,2-39-95-27 | 2-39-79-380 | 2-39-79-379 | 2-39-79-381 | 2-39-139-28
spaceID,True,object,0,0.0,54,,,CA-319 | CA-489 | CA-327 | CA-490 | CA-303
siteID,True,int64,0,0.0,1,2,2,2 | 2 | 2 | 2 | 2
timezone,True,object,0,0.0,1,,,America/Los_Angeles | America/Los_Angeles | America/Los_Angeles | America/Los_Angeles | America/Los_Angeles
