site_id,split,row_count,peak_hour_count,peak_hour_percentage,high_peak_hour_count,high_peak_hour_percentage
Arroyo_Garage_01,test,606,43,7.0957,15,2.4752
Arroyo_Garage_01,train,2490,278,11.1647,142,5.7028
Arroyo_Garage_01,validation,606,95,15.6766,55,9.0759
California_Garage_01,test,3377,7,0.2073,3,0.0888
California_Garage_01,train,15422,1540,9.9857,774,5.0188
California_Garage_01,validation,3377,14,0.4146,3,0.0888
California_Garage_02,test,2657,136,5.1186,58,2.1829
California_Garage_02,train,12063,1238,10.2628,620,5.1397
California_Garage_02,validation,2657,27,1.0162,3,0.1129
N_Wilson_Garage_01,test,1323,239,18.065,118,8.9191
N_Wilson_Garage_01,train,5835,618,10.5913,309,5.2956
N_Wilson_Garage_01,validation,1322,400,30.2572,223,16.8684
Parking_Lot_01,test,2223,13,0.5848,0,0.0
Parking_Lot_01,train,10035,1019,10.1545,510,5.0822
Parking_Lot_01,validation,2223,24,1.0796,0,0.0
S_Wilson_Garage_01,test,2209,230,10.412,88,3.9837
S_Wilson_Garage_01,train,9969,1004,10.0712,506,5.0757
S_Wilson_Garage_01,validation,2208,129,5.8424,40,1.8116
