model_name,split,metric_value,rank_metric,rank
Persistence_1h,validation,4.470529299172231,MAE,1.0
Linear_Regression_All_Features,validation,4.5990339330316425,MAE,2.0
Ridge_Regression_All_Features,validation,4.601438327547158,MAE,3.0
Average_24h_168h,validation,6.093699863469982,MAE,4.0
Persistence_168h,validation,6.750862030183337,MAE,5.0
Persistence_24h,validation,6.827572914904526,MAE,6.0
Zero_Load,validation,7.221255739511531,MAE,7.0
Site_Train_Mean,validation,12.98667127177768,MAE,8.0
Global_Train_Mean,validation,13.297524916055647,MAE,9.0
Linear_Regression_All_Features,validation,23.667345288814793,RMSE,1.0
Ridge_Regression_All_Features,validation,23.668706429294208,RMSE,2.0
Global_Train_Mean,validation,28.170668709624845,RMSE,3.0
Site_Train_Mean,validation,28.420619113301736,RMSE,4.0
Zero_Load,validation,28.709199690544683,RMSE,5.0
Average_24h_168h,validation,29.128644844690417,RMSE,6.0
Persistence_1h,validation,29.662463506168393,RMSE,7.0
Persistence_168h,validation,33.35085712793615,RMSE,8.0
Persistence_24h,validation,33.79569625539724,RMSE,9.0
Linear_Regression_All_Features,validation,27.725091962843447,peak_MAE,1.0
Ridge_Regression_All_Features,validation,27.7341139793364,peak_MAE,2.0
Persistence_1h,validation,31.802488130856844,peak_MAE,3.0
Average_24h_168h,validation,32.81942222796395,peak_MAE,4.0
Persistence_168h,validation,36.6829768923144,peak_MAE,5.0
Persistence_24h,validation,36.96384529154291,peak_MAE,6.0
Site_Train_Mean,validation,54.81262028813862,peak_MAE,7.0
Global_Train_Mean,validation,54.90381422656759,peak_MAE,8.0
Zero_Load,validation,66.51017800151733,peak_MAE,9.0
Linear_Regression_All_Features,validation,45.13150374830797,high_peak_MAE,1.0
Ridge_Regression_All_Features,validation,45.1417108243237,high_peak_MAE,2.0
Persistence_1h,validation,47.93956265998431,high_peak_MAE,3.0
Average_24h_168h,validation,49.68114085278314,high_peak_MAE,4.0
Persistence_168h,validation,52.915491598212434,high_peak_MAE,5.0
Persistence_24h,validation,53.97886035964307,high_peak_MAE,6.0
Site_Train_Mean,validation,80.8973571863563,high_peak_MAE,7.0
Global_Train_Mean,validation,81.83236221604157,high_peak_MAE,8.0
Zero_Load,validation,93.69204043860633,high_peak_MAE,9.0
Linear_Regression_All_Features,test,4.539697774021658,MAE,1.0
Ridge_Regression_All_Features,test,4.545313913584883,MAE,2.0
Persistence_1h,test,4.546740155375777,MAE,3.0
Average_24h_168h,test,6.088498258365677,MAE,4.0
Persistence_168h,test,6.673073696165008,MAE,5.0
Persistence_24h,test,6.985531509149543,MAE,6.0
Zero_Load,test,7.08714800025466,MAE,7.0
Site_Train_Mean,test,12.042741592963226,MAE,8.0
Global_Train_Mean,test,12.260060298222811,MAE,9.0
Linear_Regression_All_Features,test,10.229552058162216,RMSE,1.0
Ridge_Regression_All_Features,test,10.231701948681003,RMSE,2.0
Persistence_1h,test,12.102251914344793,RMSE,3.0
Average_24h_168h,test,13.23435833277554,RMSE,4.0
Persistence_168h,test,15.272650318274419,RMSE,5.0
Persistence_24h,test,15.765105152746782,RMSE,6.0
Global_Train_Mean,test,16.470724672672826,RMSE,7.0
Site_Train_Mean,test,16.95896518093556,RMSE,8.0
Zero_Load,test,17.283963471890466,RMSE,9.0
Linear_Regression_All_Features,test,20.063715823615333,peak_MAE,1.0
Ridge_Regression_All_Features,test,20.085126572685038,peak_MAE,2.0
Persistence_1h,test,20.52548876746405,peak_MAE,3.0
Average_24h_168h,test,24.777284393328227,peak_MAE,4.0
Persistence_168h,test,26.474265215153423,peak_MAE,5.0
Persistence_24h,test,28.009121581892778,peak_MAE,6.0
Global_Train_Mean,test,36.00664056848998,peak_MAE,7.0
Site_Train_Mean,test,37.218450868412035,peak_MAE,8.0
Zero_Load,test,47.31936796835107,peak_MAE,9.0
Persistence_1h,test,27.39212994889984,high_peak_MAE,1.0
Linear_Regression_All_Features,test,29.688048511937417,high_peak_MAE,2.0
Ridge_Regression_All_Features,test,29.716221379943303,high_peak_MAE,3.0
Average_24h_168h,test,35.24485938402045,high_peak_MAE,4.0
Persistence_168h,test,36.89056578180815,high_peak_MAE,5.0
Persistence_24h,test,37.36786749120833,high_peak_MAE,6.0
Global_Train_Mean,test,49.95041427418712,high_peak_MAE,7.0
Site_Train_Mean,test,51.34621686090234,high_peak_MAE,8.0
Zero_Load,test,61.81009249675185,high_peak_MAE,9.0
