model_name,split,MAE,RMSE,MAPE,sMAPE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,mean_actual_peak_load_kw,mean_predicted_peak_load_kw
Linear_Regression_All_Features,test,4.539697774021658,10.229552058162216,60826.55701593268,113.81053975688009,0.5789115422044062,0.4421011577551797,18.53166599435256,48.31787010891488,20.063715823615333,29.688048511937417,31.239841989806873,42.77630147591446,80.688622754491,90.42553191489363,47.31936796835107,28.613320706268855
Ridge_Regression_All_Features,test,4.545313913584883,10.231701948681003,60030.31830852144,113.4887525574709,0.5787345277646228,0.4577821266685597,18.329971762807585,48.49536103267447,20.085126572685038,29.716221379943303,31.24978738027599,42.77936060835495,80.688622754491,90.42553191489363,47.31936796835107,28.572774025266995
Persistence_1h,test,4.546740155375777,12.102251914344793,24294.09895950056,88.01010958731898,0.41062395343109015,0.006043518552101609,22.670431625655507,26.954417103670835,20.52548876746405,27.39212994889984,32.23553931366677,41.692116506221275,73.20359281437125,74.46808510638297,47.31936796835107,32.67763523941074
Average_24h_168h,test,6.088498258365677,13.23435833277554,29682.466366291705,129.65922241681605,0.2952000208085377,0.1352495931475049,27.10770471964502,37.86204114562324,24.777284393328227,35.24485938402045,36.01591848815752,48.025803105063005,87.42514970059881,93.26241134751773,47.31936796835107,25.13251999006635
Persistence_168h,test,6.673073696165008,15.272650318274419,27570.306214409033,129.79419429663076,0.06138190948604949,0.2719587973138621,27.696651875756352,28.721258572004842,26.474265215153423,36.89056578180815,38.35908011062193,50.41039417285964,80.688622754491,87.94326241134752,47.31936796835107,26.978569969122454
Persistence_24h,test,6.985531509149543,15.765105152746782,31826.776692666237,137.81872695249467,-0.00012399597173251564,-0.0014596110188522997,28.624445340863254,29.18918918918919,28.009121581892778,37.36786749120833,39.96307198089545,50.940258009266586,86.97604790419162,91.84397163120568,47.31936796835107,23.28647001101025
Zero_Load,test,7.08714800025466,17.283963471890466,100.0,200.0,-0.20211712320117714,-7.08714800025466,43.86446147640177,0.0,47.31936796835107,61.81009249675185,57.81707252423094,72.58416616020584,100.0,100.0,47.31936796835107,0.0
Site_Train_Mean,test,12.042741592963226,16.95896518093556,180169.80765294487,151.36377372461004,-0.15733423678835723,4.795085774725098,23.057684550221865,76.94231544977814,37.218450868412035,51.34621686090234,46.761174261407014,61.2651520935412,100.0,100.0,47.31936796835107,10.100917099939032
Global_Train_Mean,test,12.260060298222811,16.470724672672826,245944.05854933197,149.82976222675225,-0.09165527785317407,4.77253022231008,16.45824929407019,83.5417507059298,36.00664056848998,49.95041427418712,48.59095478806107,62.79345132160095,85.32934131736528,100.0,47.31936796835107,11.859678222564739
Persistence_1h,validation,4.470529299172231,29.662463506168393,14997.325903332137,86.76038202972384,-0.13961156854518664,0.01311903385719504,19.6239812797547,23.142096344710726,31.802488130856844,47.93956265998431,99.79420809128104,143.15839772805907,69.23076923076923,77.77777777777779,66.51017800151733,49.03690819182396
Linear_Regression_All_Features,validation,4.5990339330316425,23.667345288814793,44289.927362928145,120.9036809509106,0.27449316357189224,0.5447232122941637,15.218268377309771,46.695715323166304,27.725091962843447,45.13150374830797,92.4888824525967,133.6750846893074,81.71262699564586,92.5925925925926,66.51017800151733,42.93674126949378
Ridge_Regression_All_Features,validation,4.601438327547158,23.668706429294208,43659.85198635268,121.30104109256796,0.2744097114476426,0.5478587280696052,15.177923021060277,47.06689260066167,27.7341139793364,45.1417108243237,92.48916696377869,133.6747198862634,81.8577648766328,92.5925925925926,66.51017800151733,42.922286145539445
Average_24h_168h,validation,6.093699863469982,29.128644844690417,72237.31357630328,135.1199760909311,-0.0989627605046357,0.1624474652902956,23.682724118453965,34.358105382070526,32.81942222796395,49.68114085278314,97.40016056673868,139.88110570069625,82.72859216255442,89.50617283950618,66.51017800151733,39.428611513093955
Persistence_168h,validation,6.750862030183337,33.35085712793615,63002.153003470536,140.46785257917566,-0.44064313890159745,0.21564731690571606,25.070604373436616,26.159928992172997,36.6829768923144,52.915491598212434,98.7555315511175,140.4554519152948,78.3744557329463,83.33333333333334,66.51017800151733,40.294917488419
Persistence_24h,validation,6.827572914904526,33.79569625539724,81506.36839701106,137.5429576503616,-0.47933050123782817,0.10924761367487512,24.538045670943273,25.353021867183088,36.96384529154291,53.97886035964307,100.06951691886336,142.60368804496997,78.80986937590711,87.03703703703704,66.51017800151733,38.5623055377689
Zero_Load,validation,7.221255739511531,28.709199690544683,100.0,200.0,-0.06754105916708841,-7.221255739511531,37.892358589526346,0.0,66.51017800151733,93.69204043860633,115.18046480236552,159.59077204417827,100.0,100.0,66.51017800151733,0.0
Site_Train_Mean,validation,12.98667127177768,28.420619113301736,124470.67277064585,158.21911571353436,-0.04618739737837774,4.661726078360015,18.792866941015088,81.20713305898491,54.81262028813862,80.8973571863563,107.44017258183435,151.70626869502365,100.0,100.0,66.51017800151733,11.697557713378702
Global_Train_Mean,validation,13.297524916055647,28.170668709624845,489504.8605370059,157.87543867691969,-0.027866538265749696,4.638422483053211,14.605018962317438,85.39498103768256,54.90381422656759,81.83236221604157,108.76402355735439,152.92989108073297,91.43686502177069,100.0,66.51017800151733,11.85967822256474
