model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_mean,normalized_RMSE_by_site_mean,MBE,underestimation_rate,peak_MAE,peak_underestimation_rate
Ridge_Regression_All_Features,test,Arroyo_Garage_01,606,6.271768122842312,10.487812494527082,0.2668796110991629,0.44628297236088726,1.290692431955221,20.792079207920793,15.73667218328056,81.3953488372093
Linear_Regression_All_Features,test,Arroyo_Garage_01,606,6.280147207680228,10.491459558153656,0.26723616237132575,0.44643816415102516,1.309332505388299,20.792079207920793,15.722139078565382,81.3953488372093
Persistence_1h,test,Arroyo_Garage_01,606,6.434198867341491,11.960792382425682,0.27379145048375464,0.5089619955549262,0.0,23.26732673267327,13.184738878497937,69.76744186046511
Persistence_168h,test,Arroyo_Garage_01,606,10.494188479642503,19.448202465985375,0.4465542866688541,0.8275702495754491,2.5451742731825866,27.722772277227726,21.90678666400407,74.4186046511628
Average_24h_168h,test,Arroyo_Garage_01,606,10.605651087807122,18.64069865031796,0.45129730282258124,0.7932089179596457,0.7926155738293057,28.877887788778878,26.769686694119606,79.06976744186046
Persistence_24h,test,Arroyo_Garage_01,606,14.197375168873679,25.77731259076423,0.6041342552027866,1.096889908022781,-0.9599431255239752,29.7029702970297,34.65461928194429,83.72093023255815
Zero_Load,test,Arroyo_Garage_01,606,20.665319051032355,38.24928155963319,0.8793616414951606,1.6276037614144336,-20.665319051032355,50.0,98.94149223251819,100.0
Global_Train_Mean,test,Arroyo_Garage_01,606,22.5902704598242,33.36901914571524,0.9612731971045116,1.4199362409356906,-8.805640828467615,35.47854785478548,87.08181400995345,100.0
Site_Train_Mean,test,Arroyo_Garage_01,606,27.15417731518571,32.31082807223111,1.155478987687804,1.3749075318653583,2.8350453904908575,27.22772277227723,75.44112779099497,100.0
Zero_Load,test,California_Garage_01,3377,2.461507142372488,8.747805763420228,0.12811973664366513,0.45531721250221563,-2.461507142372488,23.571217056559078,89.58396700033732,100.0
Linear_Regression_All_Features,test,California_Garage_01,3377,2.5563955898454203,8.040324684025814,0.1330586144114708,0.41849331383782906,-0.13181094181932435,12.614746816701214,79.80890817846354,100.0
Ridge_Regression_All_Features,test,California_Garage_01,3377,2.6159138872019,8.058987501587179,0.13615650043890756,0.41946470052602136,0.012555477000213205,11.400651465798045,79.68130554385459,100.0
Persistence_1h,test,California_Garage_01,3377,2.695820986337789,9.883596636459778,0.14031560943396898,0.5144343383602584,-2.603780383485709e-17,13.503109268581582,76.83282026612513,100.0
Average_24h_168h,test,California_Garage_01,3377,3.733013338679308,9.800269980960781,0.19430075079039008,0.5100972438322128,-0.12314678409490215,18.80367189813444,88.1493600763596,100.0
Persistence_168h,test,California_Garage_01,3377,3.9101232085866617,11.308504174179555,0.20351919647308403,0.5885997857528972,-0.20421569785171378,19.18862896061593,87.0388151555819,100.0
Persistence_24h,test,California_Garage_01,3377,3.9372952989162147,11.345009825779927,0.204933484897096,0.5904998795566214,-0.04207787033809044,19.277465205803967,89.25990499713733,100.0
Global_Train_Mean,test,California_Garage_01,3377,11.423759610366506,12.60121850914186,0.5945987511334284,0.6558846687824172,9.398171080192254,5.182114302635475,77.72428877777257,100.0
Site_Train_Mean,test,California_Garage_01,3377,18.096526365577642,18.7366646581777,0.941911624878844,0.9752303782765678,16.751045168897004,4.027243115190998,70.3714146890678,100.0
Ridge_Regression_All_Features,test,California_Garage_02,2657,7.74187722955524,13.618048372085845,0.4935970799004792,0.8682427673670572,-0.07778189275886768,35.11479111780203,35.51900621614074,98.52941176470588
Linear_Regression_All_Features,test,California_Garage_02,2657,7.753570367847004,13.61808289878884,0.49434259662007446,0.8682449686780922,-0.02948615803871263,34.700790365073395,35.467211332475,98.52941176470588
Persistence_1h,test,California_Garage_02,2657,8.451136973686673,16.25107317592128,0.5388171897283314,1.0361159221514256,-0.0002789911656104831,35.07715468573579,34.05754238260935,80.88235294117648
Average_24h_168h,test,California_Garage_02,2657,10.41900116058044,17.095111711484297,0.6642818525601516,1.089929092281135,-0.34065343900503764,39.81934512608205,42.91971257427873,94.85294117647058
Persistence_168h,test,California_Garage_02,2657,11.743165686679681,19.824175489297073,0.7487063046678656,1.2639253817660747,-0.5927154305309004,43.20662401204366,45.288754628529446,91.91176470588235
Persistence_24h,test,California_Garage_02,2657,11.959922077823755,20.07335339634033,0.7625259918762904,1.27981216008164,-0.08859144747917519,42.34098607452014,44.44263972372447,94.11764705882352
Global_Train_Mean,test,California_Garage_02,2657,11.98614016841929,17.059238069584794,0.7641975726279353,1.0876419047732537,-0.4479716833814443,34.700790365073395,51.969922304661225,100.0
