model_name,split,rank_value,rank_metric,rank_position
LGBMRegressor,test,4.350389334647338,MAE,1.0
CatBoostRegressor,test,4.361671087594,MAE,2.0
XGBRegressor,test,4.4386948173297665,MAE,3.0
GradientBoostingRegressor,test,4.454217234163049,MAE,4.0
Linear_Regression_All_Features,test,4.539697774021658,MAE,5.0
Ridge_Regression_All_Features,test,4.545313913584883,MAE,6.0
Persistence_1h,test,4.546740155375777,MAE,7.0
Average_24h_168h,test,6.088498258365677,MAE,8.0
Persistence_168h,test,6.673073696165008,MAE,9.0
Persistence_24h,test,6.985531509149543,MAE,10.0
Zero_Load,test,7.08714800025466,MAE,11.0
Site_Train_Mean,test,12.042741592963226,MAE,12.0
Global_Train_Mean,test,12.260060298222813,MAE,13.0
Linear_Regression_All_Features,test,10.229552058162216,RMSE,1.0
Ridge_Regression_All_Features,test,10.231701948681003,RMSE,2.0
CatBoostRegressor,test,10.410988730863577,RMSE,3.0
GradientBoostingRegressor,test,10.44925458437387,RMSE,4.0
XGBRegressor,test,10.632458731248175,RMSE,5.0
LGBMRegressor,test,10.704025970184436,RMSE,6.0
Persistence_1h,test,12.102251914344793,RMSE,7.0
Average_24h_168h,test,13.23435833277554,RMSE,8.0
Persistence_168h,test,15.27265031827442,RMSE,9.0
Persistence_24h,test,15.765105152746782,RMSE,10.0
Global_Train_Mean,test,16.470724672672826,RMSE,11.0
Site_Train_Mean,test,16.95896518093556,RMSE,12.0
Zero_Load,test,17.283963471890466,RMSE,13.0
LGBMRegressor,test,18.99360763155563,peak_MAE,1.0
CatBoostRegressor,test,18.99851858359233,peak_MAE,2.0
XGBRegressor,test,19.07228042414284,peak_MAE,3.0
GradientBoostingRegressor,test,19.635437203668673,peak_MAE,4.0
Linear_Regression_All_Features,test,20.063715823615333,peak_MAE,5.0
Ridge_Regression_All_Features,test,20.08512657268504,peak_MAE,6.0
Persistence_1h,test,20.52548876746405,peak_MAE,7.0
Average_24h_168h,test,24.777284393328227,peak_MAE,8.0
Persistence_168h,test,26.474265215153423,peak_MAE,9.0
Persistence_24h,test,28.009121581892774,peak_MAE,10.0
Global_Train_Mean,test,36.00664056848998,peak_MAE,11.0
Site_Train_Mean,test,37.21845086841204,peak_MAE,12.0
Zero_Load,test,47.31936796835107,peak_MAE,13.0
Persistence_1h,test,27.39212994889984,high_peak_MAE,1.0
CatBoostRegressor,test,28.039203461580772,high_peak_MAE,2.0
XGBRegressor,test,28.29891276424008,high_peak_MAE,3.0
LGBMRegressor,test,28.491233637090044,high_peak_MAE,4.0
GradientBoostingRegressor,test,28.77490698168678,high_peak_MAE,5.0
Linear_Regression_All_Features,test,29.688048511937417,high_peak_MAE,6.0
Ridge_Regression_All_Features,test,29.716221379943303,high_peak_MAE,7.0
Average_24h_168h,test,35.24485938402045,high_peak_MAE,8.0
Persistence_168h,test,36.89056578180815,high_peak_MAE,9.0
Persistence_24h,test,37.36786749120833,high_peak_MAE,10.0
Global_Train_Mean,test,49.95041427418712,high_peak_MAE,11.0
Site_Train_Mean,test,51.34621686090234,high_peak_MAE,12.0
Zero_Load,test,61.81009249675185,high_peak_MAE,13.0
Global_Train_Mean,test,16.45824929407019,underestimation_rate,1.0
Ridge_Regression_All_Features,test,18.329971762807585,underestimation_rate,2.0
Linear_Regression_All_Features,test,18.53166599435256,underestimation_rate,3.0
CatBoostRegressor,test,21.242436466317063,underestimation_rate,4.0
LGBMRegressor,test,21.508672851956433,underestimation_rate,5.0
XGBRegressor,test,21.8233158531666,underestimation_rate,6.0
GradientBoostingRegressor,test,22.025010084711578,underestimation_rate,7.0
Persistence_1h,test,22.670431625655507,underestimation_rate,8.0
Site_Train_Mean,test,23.057684550221865,underestimation_rate,9.0
Average_24h_168h,test,27.10770471964502,underestimation_rate,10.0
Persistence_168h,test,27.696651875756352,underestimation_rate,11.0
Persistence_24h,test,28.624445340863254,underestimation_rate,12.0
Zero_Load,test,43.86446147640177,underestimation_rate,13.0
CatBoostRegressor,validation,3.86982794632989,MAE,1.0
LGBMRegressor,validation,3.8864472760028264,MAE,2.0
XGBRegressor,validation,3.9303946200608593,MAE,3.0
GradientBoostingRegressor,validation,4.072964479572466,MAE,4.0
Persistence_1h,validation,4.470529299172231,MAE,5.0
Linear_Regression_All_Features,validation,4.5990339330316425,MAE,6.0
Ridge_Regression_All_Features,validation,4.601438327547158,MAE,7.0
Average_24h_168h,validation,6.093699863469982,MAE,8.0
Persistence_168h,validation,6.750862030183337,MAE,9.0
Persistence_24h,validation,6.827572914904526,MAE,10.0
Zero_Load,validation,7.221255739511531,MAE,11.0
Site_Train_Mean,validation,12.98667127177768,MAE,12.0
Global_Train_Mean,validation,13.297524916055648,MAE,13.0
CatBoostRegressor,validation,22.735020659179217,RMSE,1.0
XGBRegressor,validation,22.798471124572366,RMSE,2.0
LGBMRegressor,validation,22.813605517343092,RMSE,3.0
GradientBoostingRegressor,validation,23.082193089560025,RMSE,4.0
Linear_Regression_All_Features,validation,23.667345288814797,RMSE,5.0
Ridge_Regression_All_Features,validation,23.668706429294208,RMSE,6.0
Global_Train_Mean,validation,28.170668709624845,RMSE,7.0
Site_Train_Mean,validation,28.420619113301736,RMSE,8.0
Zero_Load,validation,28.709199690544683,RMSE,9.0
Average_24h_168h,validation,29.128644844690417,RMSE,10.0
Persistence_1h,validation,29.662463506168397,RMSE,11.0
Persistence_168h,validation,33.35085712793615,RMSE,12.0
Persistence_24h,validation,33.79569625539724,RMSE,13.0
CatBoostRegressor,validation,26.277281137417454,peak_MAE,1.0
XGBRegressor,validation,26.685413692424262,peak_MAE,2.0
LGBMRegressor,validation,26.981615043579996,peak_MAE,3.0
Linear_Regression_All_Features,validation,27.725091962843447,peak_MAE,4.0
Ridge_Regression_All_Features,validation,27.7341139793364,peak_MAE,5.0
GradientBoostingRegressor,validation,27.836094496058703,peak_MAE,6.0
Persistence_1h,validation,31.802488130856844,peak_MAE,7.0
Average_24h_168h,validation,32.81942222796395,peak_MAE,8.0
Persistence_168h,validation,36.6829768923144,peak_MAE,9.0
