model_name,feature_name,importance,importance_type,rank
GradientBoostingRegressor,lag_1h,0.5835036608222374,feature_importances_,1
GradientBoostingRegressor,ramp_rate_24h,0.03016729623286199,feature_importances_,2
GradientBoostingRegressor,diff_24h,0.029543369209644836,feature_importances_,3
GradientBoostingRegressor,diff_1h,0.02876226317711526,feature_importances_,4
GradientBoostingRegressor,same_hour_2weeks_ago,0.026616071161111348,feature_importances_,5
GradientBoostingRegressor,same_hour_last_week_x_business_hour,0.02572937251691383,feature_importances_,6
GradientBoostingRegressor,ramp_rate_1h,0.025332891117598445,feature_importances_,7
GradientBoostingRegressor,lag_336h,0.024504100322664382,feature_importances_,8
GradientBoostingRegressor,lag_168h,0.02446489876712124,feature_importances_,9
GradientBoostingRegressor,lag_12h,0.020047816356382888,feature_importances_,10
GradientBoostingRegressor,same_hour_last_week,0.018115591657561714,feature_importances_,11
GradientBoostingRegressor,diff_3h,0.01563666098124812,feature_importances_,12
GradientBoostingRegressor,ratio_lag_1h_to_24h,0.01300833140162418,feature_importances_,13
GradientBoostingRegressor,lag_24h,0.012895615185029711,feature_importances_,14
GradientBoostingRegressor,lag_1h_normalized_by_train_mean,0.012487900997532253,feature_importances_,15
GradientBoostingRegressor,lag_144h,0.01092551319960318,feature_importances_,16
GradientBoostingRegressor,hour_x_weekend,0.008384144145204294,feature_importances_,17
GradientBoostingRegressor,same_hour_yesterday,0.00836576032142952,feature_importances_,18
GradientBoostingRegressor,rolling_range_24h,0.006811586083167687,feature_importances_,19
GradientBoostingRegressor,lag_168h_x_weekend,0.005976232735973325,feature_importances_,20
GradientBoostingRegressor,lag_6h,0.004822943568119288,feature_importances_,21
GradientBoostingRegressor,hour,0.004540633393032795,feature_importances_,22
GradientBoostingRegressor,rolling_std_6h,0.0044748968131307675,feature_importances_,23
GradientBoostingRegressor,was_missing_hour,0.0040399333668633885,feature_importances_,24
GradientBoostingRegressor,ewm_mean_24h,0.0040331422185273975,feature_importances_,25
GradientBoostingRegressor,ratio_lag_1h_to_rolling_mean_24h,0.0037765251144888786,feature_importances_,26
GradientBoostingRegressor,rolling_mean_168h_normalized_by_train_mean,0.0033420178655761998,feature_importances_,27
GradientBoostingRegressor,abs_diff_24h,0.003324776259313732,feature_importances_,28
GradientBoostingRegressor,ewm_mean_168h,0.0026455061510358927,feature_importances_,29
GradientBoostingRegressor,lag_120h,0.002494071405259935,feature_importances_,30
GradientBoostingRegressor,hour_cos,0.00228169565289327,feature_importances_,31
GradientBoostingRegressor,lag_96h,0.0020338365659359134,feature_importances_,32
GradientBoostingRegressor,abs_diff_1h,0.0017164571492616274,feature_importances_,33
GradientBoostingRegressor,lag_72h,0.0016349379618944009,feature_importances_,34
GradientBoostingRegressor,lag_168h_normalized_by_train_mean,0.0013794058683176493,feature_importances_,35
GradientBoostingRegressor,lag_24h_normalized_by_train_mean,0.001375569400220525,feature_importances_,36
GradientBoostingRegressor,rolling_mean_24h_x_business_hour,0.001268248719137473,feature_importances_,37
GradientBoostingRegressor,day_of_week_cos,0.0011889086220550674,feature_importances_,38
GradientBoostingRegressor,ewm_mean_6h,0.0010866547360487157,feature_importances_,39
GradientBoostingRegressor,lag_48h,0.0009505069940539878,feature_importances_,40
GradientBoostingRegressor,hour_sin,0.000897959634419111,feature_importances_,41
