model_name,split,rank_value,rank_metric,rank_position
LGBMRegressor,test,4.350389334647338,MAE,1.0
CatBoostRegressor,test,4.361671087594,MAE,2.0
XGBRegressor,test,4.4386948173297665,MAE,3.0
GradientBoostingRegressor,test,4.454217234163049,MAE,4.0
CatBoostRegressor,test,10.410988730863577,RMSE,1.0
GradientBoostingRegressor,test,10.44925458437387,RMSE,2.0
XGBRegressor,test,10.632458731248175,RMSE,3.0
LGBMRegressor,test,10.704025970184436,RMSE,4.0
LGBMRegressor,test,18.99360763155563,peak_MAE,1.0
CatBoostRegressor,test,18.99851858359233,peak_MAE,2.0
XGBRegressor,test,19.07228042414284,peak_MAE,3.0
GradientBoostingRegressor,test,19.635437203668673,peak_MAE,4.0
CatBoostRegressor,test,28.039203461580772,high_peak_MAE,1.0
XGBRegressor,test,28.29891276424008,high_peak_MAE,2.0
LGBMRegressor,test,28.491233637090044,high_peak_MAE,3.0
GradientBoostingRegressor,test,28.77490698168678,high_peak_MAE,4.0
CatBoostRegressor,test,21.242436466317063,underestimation_rate,1.0
LGBMRegressor,test,21.508672851956433,underestimation_rate,2.0
XGBRegressor,test,21.8233158531666,underestimation_rate,3.0
GradientBoostingRegressor,test,22.025010084711578,underestimation_rate,4.0
CatBoostRegressor,validation,3.86982794632989,MAE,1.0
LGBMRegressor,validation,3.8864472760028264,MAE,2.0
XGBRegressor,validation,3.9303946200608593,MAE,3.0
GradientBoostingRegressor,validation,4.072964479572466,MAE,4.0
CatBoostRegressor,validation,22.735020659179217,RMSE,1.0
XGBRegressor,validation,22.798471124572366,RMSE,2.0
LGBMRegressor,validation,22.813605517343092,RMSE,3.0
GradientBoostingRegressor,validation,23.082193089560025,RMSE,4.0
CatBoostRegressor,validation,26.277281137417454,peak_MAE,1.0
XGBRegressor,validation,26.685413692424262,peak_MAE,2.0
LGBMRegressor,validation,26.981615043579996,peak_MAE,3.0
GradientBoostingRegressor,validation,27.836094496058703,peak_MAE,4.0
CatBoostRegressor,validation,41.786362801994265,high_peak_MAE,1.0
XGBRegressor,validation,42.62652653742966,high_peak_MAE,2.0
LGBMRegressor,validation,43.19626921226297,high_peak_MAE,3.0
GradientBoostingRegressor,validation,43.91807347109161,high_peak_MAE,4.0
LGBMRegressor,validation,17.56636811103042,underestimation_rate,1.0
XGBRegressor,validation,17.994028887275075,underestimation_rate,2.0
CatBoostRegressor,validation,18.123134027273462,underestimation_rate,3.0
GradientBoostingRegressor,validation,18.179617526022753,underestimation_rate,4.0
