model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_train_mean,normalized_RMSE_by_site_train_mean,MBE,underestimation_rate,peak_MAE,peak_underestimation_rate,high_peak_MAE,high_peak_underestimation_rate
LGBMRegressor,test,Arroyo_Garage_01,606,5.01058048612826,8.62210561408666,0.2132128843616985,0.36689242141505296,1.3354595019104325,19.966996699669966,11.642726929476305,72.09302325581395,14.232810747243736,86.66666666666667
XGBRegressor,test,Arroyo_Garage_01,606,5.117665208611487,8.908674932340192,0.21776961039672188,0.37908667137941465,1.2203682517964127,21.782178217821784,12.242088678965036,74.4186046511628,15.54152385530031,86.66666666666667
CatBoostRegressor,test,Arroyo_Garage_01,606,5.231901880081194,8.998937145220948,0.22263066996683903,0.3829275570433523,1.231811573851546,21.287128712871286,12.019325839386804,72.09302325581395,15.361316031283904,73.33333333333333
GradientBoostingRegressor,test,Arroyo_Garage_01,606,5.639286119775319,9.3076720199838,0.23996590069093413,0.3960650075510279,1.0979351402764719,22.937293729372936,13.66711050121035,83.72093023255815,17.93540517198611,100.0
CatBoostRegressor,test,California_Garage_01,3377,2.644740330206193,8.638576752001264,0.1376568967702885,0.4496319183440369,0.09862754950226399,12.822031388806632,78.53506696266622,100.0,112.80754209164725,100.0
LGBMRegressor,test,California_Garage_01,3377,2.691473989331462,8.589683127302434,0.14008935125983887,0.44708703914700537,0.32232302765617976,11.815220610008884,78.27509482482934,100.0,112.48348314810376,100.0
GradientBoostingRegressor,test,California_Garage_01,3377,2.850563449105114,8.103441140953617,0.14836984711464185,0.42177848157115416,0.3676638490461506,12.437074326325142,77.70191395414443,100.0,113.02028671356527,100.0
XGBRegressor,test,California_Garage_01,3377,3.0238227630891488,9.111295715974443,0.15738787403667687,0.47423661200027206,0.60262661499866,12.11134142730234,78.12726667532512,100.0,112.72753884694798,100.0
GradientBoostingRegressor,test,California_Garage_02,2657,7.902817722578713,13.783534491676539,0.5038581257732893,0.8787936277039009,0.06364147583082107,35.15242754986827,34.13425008467193,95.58823529411765,48.43635983825336,100.0
CatBoostRegressor,test,California_Garage_02,2657,7.90324987244944,13.923112961069114,0.5038856782528682,0.8876926999658762,0.22528509498469404,33.421151674821225,33.65553193867394,94.11764705882352,47.83973051242478,96.55172413793103
XGBRegressor,test,California_Garage_02,2657,7.940821687047505,14.03551615885277,0.5062811357655976,0.8948591647072289,0.3596586180894077,34.13624388407979,33.82017681553172,91.91176470588235,48.20508173466609,93.10344827586206
LGBMRegressor,test,California_Garage_02,2657,7.982530014148981,14.58227607856656,0.5089403239514073,0.9297188107304262,0.5834519124939697,34.39969890854347,33.678727280163976,92.64705882352942,48.83211893180642,94.82758620689656
XGBRegressor,test,N_Wilson_Garage_01,1323,12.69806189429148,20.044890416574212,1.0715876699739848,1.6915855029842837,1.8552723303705652,30.461073318216176,26.41147771639123,86.19246861924687,36.12420253111253,92.37288135593221
LGBMRegressor,test,N_Wilson_Garage_01,1323,12.816949291124423,20.361896384065204,1.0816205607900833,1.7183375923109419,2.144039822243841,30.763416477702194,26.325473458571338,87.86610878661088,36.34685327729415,94.0677966101695
GradientBoostingRegressor,test,N_Wilson_Garage_01,1323,12.8696179733378,20.59604411453567,1.0860652635268848,1.7380972865865967,1.455749768562531,30.990173847316704,27.389104168742552,86.19246861924687,36.53642496875565,91.52542372881356
CatBoostRegressor,test,N_Wilson_Garage_01,1323,12.934179132280482,19.735954711517028,1.0915135707140873,1.6655144619774018,2.0096514628947557,30.007558578987148,26.243224697451712,84.93723849372385,35.54826901820355,89.83050847457628
LGBMRegressor,test,Parking_Lot_01,2223,0.3725649802090834,0.8798487099145774,0.16677717917928273,0.39386065180290025,0.024955439863741068,13.045434098065678,3.796221167778389,84.61538461538461,,
XGBRegressor,test,Parking_Lot_01,2223,0.41507817612964,0.9067151443854442,0.18580803626506567,0.4058873005586197,0.06642479852729939,12.955465587044534,3.6360663287991524,84.61538461538461,,
CatBoostRegressor,test,Parking_Lot_01,2223,0.42500375226452075,0.9141854403293245,0.1902511795486229,0.40923134777544506,0.17004243101947053,9.536662168241115,3.343811626944747,84.61538461538461,,
GradientBoostingRegressor,test,Parking_Lot_01,2223,0.47037080305733764,0.9911877612782568,0.21055955301588516,0.4437011196550073,0.09425326047473047,11.560953666216824,3.5464601389896924,84.61538461538461,,
LGBMRegressor,test,S_Wilson_Garage_01,2209,1.268872003454704,2.2028800567364994,0.47986860724025315,0.8330966258735093,0.11512170330363147,24.219103666817567,3.1205262358952317,80.8695652173913,4.118110116374347,94.31818181818183
XGBRegressor,test,S_Wilson_Garage_01,2209,1.305500126420463,2.689799240200697,0.4937208211007121,1.017242252675391,0.09478661706966054,25.622453598913538,3.0775067826106164,79.13043478260869,3.98224188481184,93.18181818181817
CatBoostRegressor,test,S_Wilson_Garage_01,2209,1.3152807840212033,2.1435878800515775,0.4974197210118003,0.8106732024166357,0.05313007737091268,25.98460842009959,3.1812232022021085,78.69565217391305,4.1910556312831835,89.77272727272727
