model_name,candidate_id,parameter_json,validation_MAE,validation_RMSE,validation_peak_MAE,validation_high_peak_MAE,validation_underestimation_rate,training_time_seconds,status,error_message_if_failed
RandomForestRegressor,1,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 200}",,,,,,0.085,failed,PermissionError: [WinError 5] Access is denied
RandomForestRegressor,2,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",,,,,,0.122,failed,PermissionError: [WinError 5] Access is denied
RandomForestRegressor,3,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 300}",,,,,,0.118,failed,PermissionError: [WinError 5] Access is denied
ExtraTreesRegressor,1,"{""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",,,,,,0.108,failed,PermissionError: [WinError 5] Access is denied
ExtraTreesRegressor,2,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""n_estimators"": 300}",,,,,,0.1,failed,PermissionError: [WinError 5] Access is denied
ExtraTreesRegressor,3,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""n_estimators"": 400}",,,,,,0.128,failed,PermissionError: [WinError 5] Access is denied
GradientBoostingRegressor,1,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200, ""subsample"": 0.8}",4.072964479572466,23.082193089560025,27.836094496058703,43.91807347109161,18.179617526022753,238.794,success,
GradientBoostingRegressor,2,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",4.0837427281057375,23.181612484112456,27.658069177680414,43.80531148329429,18.155410312273055,362.25,success,KeyError: 'validation_MAE'
GradientBoostingRegressor,3,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 200, ""subsample"": 0.8}",4.196218913504404,23.169359646962203,26.492095964999635,42.28410941507822,17.7680948922779,316.244,success,KeyError: 'validation_MAE'
HistGradientBoostingRegressor,1,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31}",,,,,,0.96,failed,PermissionError: [WinError 5] Access is denied
HistGradientBoostingRegressor,2,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 300, ""max_leaf_nodes"": 31}",,,,,,0.155,failed,PermissionError: [WinError 5] Access is denied
HistGradientBoostingRegressor,3,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 300, ""max_leaf_nodes"": 63}",,,,,,0.157,failed,PermissionError: [WinError 5] Access is denied
XGBRegressor,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""reg_lambda"": 1.0, ""subsample"": 0.8}",3.9303946200608593,22.798471124572366,26.685413692424262,42.62652653742966,17.994028887275075,10.849,success,
XGBRegressor,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 500, ""reg_lambda"": 1.0, ""subsample"": 0.8}",3.894053256754188,22.737839989635873,26.21890199626864,41.74222776509919,17.727749536028405,8.185,success,KeyError: 'validation_MAE'
XGBRegressor,3,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""reg_lambda"": 2.0, ""subsample"": 0.8}",3.9056123355804053,22.690211600949276,26.455949455076276,42.433569647196784,17.67933510852901,5.973,success,KeyError: 'validation_MAE'
LGBMRegressor,1,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8}",3.8864472760028264,22.813605517343092,26.981615043579996,43.19626921226297,17.56636811103042,2.754,success,
LGBMRegressor,2,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8}",3.8756673602653264,22.753178369069257,26.677929453497676,42.6724708401636,17.48567739853143,12.025,success,KeyError: 'validation_MAE'
LGBMRegressor,3,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 63, ""reg_lambda"": 2.0, ""subsample"": 0.8}",3.8726191510652535,22.815043091792706,27.0598723746219,43.30814498993626,17.67933510852901,5.564,success,KeyError: 'validation_MAE'
CatBoostRegressor,1,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}",3.86982794632989,22.735020659179217,26.277281137417454,41.786362801994265,18.123134027273462,9.005,success,
CatBoostRegressor,2,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",3.8564807265461636,22.675264611179976,26.13914442549376,41.58426993903985,17.542160897280723,29.48,success,KeyError: 'validation_MAE'
CatBoostRegressor,3,"{""depth"": 8, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05}",3.8530892067996065,22.70481353678814,26.232858477156785,41.87019045697718,17.65512789477931,40.8,success,KeyError: 'validation_MAE'
