feature,abs_validation_correlation,validation_correlation,abs_peak_correlation,peak_correlation
lag_1h,0.4306756681500788,0.4306756681500788,0.29898125523368335,0.29898125523368335
rolling_q95_168h,0.3672145005596569,0.3672145005596569,0.28383761397038176,0.28383761397038176
rolling_q90_168h,0.36537143596050065,0.36537143596050065,0.28381515078671044,0.28381515078671044
site_id_encoded,0.07280197175665408,-0.07280197175665408,0.27339404280804425,-0.27339404280804425
rolling_mean_168h,0.3745372183798365,0.3745372183798365,0.2680435747592963,0.2680435747592963
rolling_q95_24h,0.35181370491860264,0.35181370491860264,0.2669795791784796,0.2669795791784796
rolling_q90_24h,0.38195739108475096,0.38195739108475096,0.2639732241332245,0.2639732241332245
rolling_q75_168h,0.36324772144441797,0.36324772144441797,0.2574870189991144,0.2574870189991144
rolling_mean_24h,0.3638966519448683,0.3638966519448683,0.24383733691578138,0.24383733691578138
rolling_skew_24h,0.3638966519448683,0.3638966519448683,0.24383733691578138,0.24383733691578138
rolling_kurt_24h,0.3638966519448683,0.3638966519448683,0.24383733691578138,0.24383733691578138
rolling_q75_24h,0.36613654154560793,0.36613654154560793,0.2366843307029086,0.2366843307029086
lag_1_minus_24,0.1380773227645511,0.1380773227645511,0.21940925447458665,0.21940925447458665
rolling_std_168h,0.29864575659729936,0.29864575659729936,0.20361290114450356,0.20361290114450356
risk_max_lag_ratio,0.27855261593722064,0.27855261593722064,0.20333792162921308,0.20333792162921308
lag_168h,0.2843973981820363,0.2843973981820363,0.1826250113882474,0.1826250113882474
lag_504h,0.2843973981820363,0.2843973981820363,0.1826250113882474,0.1826250113882474
lag_720h,0.2843973981820363,0.2843973981820363,0.1826250113882474,0.1826250113882474
risk_enhanced_combined,0.2658017954673351,0.2658017954673351,0.16304277560189487,0.16304277560189487
rolling_std_24h,0.24575525324363165,0.24575525324363165,0.160216663355222,0.160216663355222
risk_rollq90_168_vs_site_p90,0.3232935196093129,0.3232935196093129,0.1578400002506678,0.1578400002506678
recent_peak_168h_count,0.33270295923830223,0.33270295923830223,0.15026119109424385,0.15026119109424385
risk_recent_peak_interaction,0.34541777774553084,0.34541777774553084,0.14848153096325895,0.14848153096325895
risk_recent_session_pressure,0.33135681804248684,0.33135681804248684,0.147207423342043,0.147207423342043
lag_24h,0.26333131813045413,0.26333131813045413,0.14557835342615227,0.14557835342615227
recent_peak_24h_count,0.33233393722495663,0.33233393722495663,0.14099061214677128,0.14099061214677128
session_arrivals_24h,0.33233393722495663,0.33233393722495663,0.14099061214677128,0.14099061214677128
session_departures_24h,0.33233393722495663,0.33233393722495663,0.14099061214677128,0.14099061214677128
risk_recent_peak_count_norm,0.33233393722495663,0.33233393722495663,0.1409906121467712,0.1409906121467712
risk_combined_simple,0.3481867897560608,0.3481867897560608,0.14016064746436036,0.14016064746436036
risk_weekly_high_load_ratio,0.19601722118057466,0.19601722118057466,0.13219313110063402,0.13219313110063402
hour_x_lag24,0.25774768613287974,0.25774768613287974,0.13211413297707714,0.13211413297707714
evening_x_lag24,0.18101738331511286,0.18101738331511286,0.1236385409712151,0.1236385409712151
risk_rollq90_24_vs_site_p90,0.312328014755412,0.312328014755412,0.12078024943000042,0.12078024943000042
business_x_lag24,0.20109685217921988,0.20109685217921988,0.11516137487075635,0.11516137487075635
recent_peak_24h_flag,0.27498248361925687,0.27498248361925687,0.11470342246261946,0.11470342246261946
fraction_fully_charged_24h,0.27498248361925687,0.27498248361925687,0.11470342246261946,0.11470342246261946
risk_enhanced_business_interaction,0.09301024155246237,0.09301024155246237,0.08719878400928896,0.08719878400928896
risk_recent_high_load_ratio,0.16128216251810862,0.16128216251810862,0.08369902771233789,0.08369902771233789
risk_lag168_vs_site_p90,0.21264826503469875,0.21264826503469875,0.07490701579225445,0.07490701579225445
risk_lag504_vs_site_p90,0.21264826503469875,0.21264826503469875,0.07490701579225445,0.07490701579225445
risk_lag720_vs_site_p90,0.21264826503469875,0.21264826503469875,0.07490701579225445,0.07490701579225445
hour,0.06457133315628262,0.06457133315628262,0.07377775295258955,-0.07377775295258955
recent_peak_168h_flag,0.1745325044421006,0.1745325044421006,0.04555669518750628,0.04555669518750628
lag_24_minus_168,0.01818725543502048,-0.01818725543502048,0.045233123343018974,-0.045233123343018974
risk_business_peak_interaction,0.11794619501573367,0.11794619501573367,0.04420168554979106,0.04420168554979106
risk_lag24_vs_site_p90,0.19705554406573747,0.19705554406573747,0.03471012589238611,0.03471012589238611
is_weekend,0.013716621755583006,-0.013716621755583006,0.02563009655643204,-0.02563009655643204
day_of_week,0.009991339229083336,-0.009991339229083336,0.023174505362516293,-0.023174505362516293
is_morning_arrival_period,0.09185062622940351,-0.09185062622940351,0.01964841316651642,-0.01964841316651642
risk_morning_peak_interaction,0.03934353237525402,-0.03934353237525402,0.01872505412962883,-0.01872505412962883
risk_enhanced_morning_interaction,0.0078096651554801135,-0.0078096651554801135,0.017838778034638767,-0.017838778034638767
is_evening_departure_period,0.10053708456866182,0.10053708456866182,0.015831954477367103,-0.015831954477367103
morning_x_lag24,0.0049230020642825785,0.0049230020642825785,0.012887311719781391,-0.012887311719781391
is_business_hour,0.059905287093634144,-0.059905287093634144,0.00968683793914696,0.00968683793914696
lag_168_minus_504,0.0,0.0,0.0,0.0
