feature,gain,group
lag_1h,193802667.50538576,Lag-memory
target_load_kw_normalized_by_train_mean,170153829.03339648,Metadata
site_id_encoded,16399657.395500422,Metadata
rolling_max_336h,11035840.754304409,Rolling-memory
site_total_rows,4374228.657294631,Metadata
is_high_peak_hour,3333504.058848858,Peak-risk
recent_peak_168h_count,1569333.3167158365,Peak-risk
row_number_by_site,1374022.0762617588,Metadata
is_peak_hour,1119379.5283799171,Peak-risk
ratio_lag_1h_to_24h,1111555.6008841991,Lag-memory
lag_336h,1100902.9373822212,Lag-memory
peak_threshold_90_train_kw,1020023.6138591766,Peak-risk
day_of_year_sin,925491.9055144787,Calendar
lag_24h,840446.679819107,Lag-memory
rolling_max_168h,783205.6813793182,Rolling-memory
rolling_mean_168h_normalized_by_train_mean,757966.4942358732,Metadata
same_hour_yesterday_minus_last_week,756666.9380124807,Lag-memory
abs_diff_1h,720915.7963914871,Lag-memory
lag_1h_normalized_by_train_mean,628323.9743921757,Metadata
rolling_q75_24h,567306.6150069237,Rolling-memory
rolling_q90_24h,501881.31126379967,Rolling-memory
rolling_std_24h,487455.8127400875,Rolling-memory
rolling_mean_24h_normalized_by_train_mean,452845.0867958069,Metadata
day_of_year_cos,407451.1854085922,Calendar
lag_168h,385283.0114021301,Lag-memory
day_of_week_cos,362451.52393102646,Calendar
lag_72h,305017.09384799004,Lag-memory
lag_2h,272905.16226029396,Lag-memory
missing_hour_lag_168h,268743.0980503559,Calendar
rolling_max_24h,251141.2254178524,Rolling-memory
same_hour_last_week_x_business_hour,249271.6323902607,Lag-memory
lag_168h_normalized_by_train_mean,245411.82718110085,Metadata
rolling_mean_48h,213323.8163819313,Rolling-memory
ratio_lag_1h_to_rolling_max_24h,191317.72415089607,Lag-memory
ewm_mean_6h,190339.38532686234,EWM-memory
ewm_mean_168h,159796.0453031063,EWM-memory
lag_24h_normalized_by_train_mean,157202.34267616272,Metadata
lag_120h,153524.242739439,Lag-memory
day_of_year,149222.99668216705,Calendar
lag_144h,144428.4229030609,Lag-memory
day_of_week,143993.0901787281,Calendar
rolling_std_168h,139644.17880916595,Rolling-memory
lag_3h,139030.46770954132,Lag-memory
rolling_q75_168h,134265.15014076233,Rolling-memory
lag_12h,124226.61566615105,Lag-memory
rolling_q90_168h,121328.96781420708,Rolling-memory
rolling_range_24h,121279.99147033691,Rolling-memory
rolling_std_6h,111257.13630270958,Rolling-memory
ratio_lag_1h_to_rolling_mean_24h,105208.99803948402,Lag-memory
hour,97197.987606287,Calendar
missing_hour_rolling_count_168h,88183.53671240807,Rolling-memory
abs_diff_24h,82619.06855249405,Lag-memory
diff_24h,81221.21871459484,Lag-memory
rolling_mean_336h,80892.36115670204,Rolling-memory
