scenario_id,horizon_scenario,charger_power_kw,capacity_scenario,forecast_signal_scenario,comparison_strategy,peak_reduction_difference,capacity_violation_difference,unserved_energy_difference,energy_delivery_difference,uncertainty_aware_best_for_capacity_risk,uncertainty_aware_best_for_peak_reduction,uncertainty_aware_safer_but_more_conservative
1,original_calendar_aligned,6.6,capacity_p90,eahpa_point,peak_sensitive,0.0,0,1.3877787807814457e-17,0.0,False,False,False
1,original_calendar_aligned,6.6,capacity_p90,eahpa_point,point_forecast,0.0,0,1.3877787807814457e-17,0.0,False,False,False
1,original_calendar_aligned,6.6,capacity_p90,eahpa_point,uncontrolled,47.560768425062626,-209,-1.3877787807814457e-17,0.0,False,False,False
1,original_calendar_aligned,6.6,capacity_p90,eahpa_point,valley_filling,-3.7557360025962083,51,-9.020562075079397e-17,0.0,False,False,False
2,original_calendar_aligned,6.6,capacity_p90,prc_peak_sensitive,peak_sensitive,0.0,0,1.3877787807814457e-17,0.0,False,False,False
2,original_calendar_aligned,6.6,capacity_p90,prc_peak_sensitive,point_forecast,0.0,0,1.3877787807814457e-17,0.0,False,False,False
2,original_calendar_aligned,6.6,capacity_p90,prc_peak_sensitive,uncontrolled,47.560768425062626,-209,-1.3877787807814457e-17,0.0,False,False,False
2,original_calendar_aligned,6.6,capacity_p90,prc_peak_sensitive,valley_filling,-3.7557360025962083,51,-9.020562075079397e-17,0.0,False,False,False
3,original_calendar_aligned,6.6,capacity_p90,upper_bound,peak_sensitive,0.0,0,1.3877787807814457e-17,0.0,False,False,False
3,original_calendar_aligned,6.6,capacity_p90,upper_bound,point_forecast,0.0,0,1.3877787807814457e-17,0.0,False,False,False
3,original_calendar_aligned,6.6,capacity_p90,upper_bound,uncontrolled,47.560768425062626,-209,-1.3877787807814457e-17,0.0,False,False,False
3,original_calendar_aligned,6.6,capacity_p90,upper_bound,valley_filling,-3.7557360025962083,51,-9.020562075079397e-17,0.0,False,False,False
4,original_calendar_aligned,6.6,capacity_p95,eahpa_point,peak_sensitive,0.0,0,0.0,0.0,False,False,False
4,original_calendar_aligned,6.6,capacity_p95,eahpa_point,point_forecast,0.0,0,0.0,0.0,False,False,False
4,original_calendar_aligned,6.6,capacity_p95,eahpa_point,uncontrolled,41.83989823386171,-164,6.938893903907228e-18,0.0,False,False,False
4,original_calendar_aligned,6.6,capacity_p95,eahpa_point,valley_filling,-9.476606193797124,5,-8.326672684688674e-17,0.0,False,False,False
5,original_calendar_aligned,6.6,capacity_p95,prc_peak_sensitive,peak_sensitive,0.0,0,0.0,0.0,False,False,False
5,original_calendar_aligned,6.6,capacity_p95,prc_peak_sensitive,point_forecast,0.0,0,0.0,0.0,False,False,False
5,original_calendar_aligned,6.6,capacity_p95,prc_peak_sensitive,uncontrolled,41.83989823386171,-164,6.938893903907228e-18,0.0,False,False,False
5,original_calendar_aligned,6.6,capacity_p95,prc_peak_sensitive,valley_filling,-9.476606193797124,5,-8.326672684688674e-17,0.0,False,False,False
6,original_calendar_aligned,6.6,capacity_p95,upper_bound,peak_sensitive,0.0,0,0.0,0.0,False,False,False
6,original_calendar_aligned,6.6,capacity_p95,upper_bound,point_forecast,0.0,0,0.0,0.0,False,False,False
6,original_calendar_aligned,6.6,capacity_p95,upper_bound,uncontrolled,41.83989823386171,-164,6.938893903907228e-18,0.0,False,False,False
6,original_calendar_aligned,6.6,capacity_p95,upper_bound,valley_filling,-9.476606193797124,5,-8.326672684688674e-17,0.0,False,False,False
7,original_calendar_aligned,6.6,capacity_p95_plus_10percent,eahpa_point,peak_sensitive,0.0,0,0.0,0.0,False,False,False
7,original_calendar_aligned,6.6,capacity_p95_plus_10percent,eahpa_point,point_forecast,0.0,0,0.0,0.0,False,False,False
7,original_calendar_aligned,6.6,capacity_p95_plus_10percent,eahpa_point,uncontrolled,41.61435704911904,-132,0.0,0.0,False,False,False
7,original_calendar_aligned,6.6,capacity_p95_plus_10percent,eahpa_point,valley_filling,-9.702147378539792,5,-9.020562075079397e-17,0.0,False,False,False
8,original_calendar_aligned,6.6,capacity_p95_plus_10percent,prc_peak_sensitive,peak_sensitive,0.0,0,0.0,0.0,False,False,False
8,original_calendar_aligned,6.6,capacity_p95_plus_10percent,prc_peak_sensitive,point_forecast,0.0,0,0.0,0.0,False,False,False
8,original_calendar_aligned,6.6,capacity_p95_plus_10percent,prc_peak_sensitive,uncontrolled,41.61435704911904,-132,0.0,0.0,False,False,False
8,original_calendar_aligned,6.6,capacity_p95_plus_10percent,prc_peak_sensitive,valley_filling,-9.702147378539792,5,-9.020562075079397e-17,0.0,False,False,False
9,original_calendar_aligned,6.6,capacity_p95_plus_10percent,upper_bound,peak_sensitive,0.0,0,0.0,0.0,False,False,False
9,original_calendar_aligned,6.6,capacity_p95_plus_10percent,upper_bound,point_forecast,0.0,0,0.0,0.0,False,False,False
9,original_calendar_aligned,6.6,capacity_p95_plus_10percent,upper_bound,uncontrolled,41.61435704911904,-132,0.0,0.0,False,False,False
9,original_calendar_aligned,6.6,capacity_p95_plus_10percent,upper_bound,valley_filling,-9.702147378539792,5,-9.020562075079397e-17,0.0,False,False,False
10,original_calendar_aligned,6.6,capacity_historical_peak,eahpa_point,peak_sensitive,0.0,0,0.0,0.0,True,False,False
10,original_calendar_aligned,6.6,capacity_historical_peak,eahpa_point,point_forecast,0.0,0,0.0,0.0,True,False,False
10,original_calendar_aligned,6.6,capacity_historical_peak,eahpa_point,uncontrolled,25.59118217534745,0,-6.938893903907228e-18,0.0,True,False,False
10,original_calendar_aligned,6.6,capacity_historical_peak,eahpa_point,valley_filling,-25.725322252311386,0,-9.71445146547012e-17,0.0,True,False,True
11,original_calendar_aligned,6.6,capacity_historical_peak,prc_peak_sensitive,peak_sensitive,0.0,0,0.0,0.0,True,False,False
11,original_calendar_aligned,6.6,capacity_historical_peak,prc_peak_sensitive,point_forecast,0.0,0,0.0,0.0,True,False,False
11,original_calendar_aligned,6.6,capacity_historical_peak,prc_peak_sensitive,uncontrolled,25.59118217534745,0,-6.938893903907228e-18,0.0,True,False,False
11,original_calendar_aligned,6.6,capacity_historical_peak,prc_peak_sensitive,valley_filling,-25.725322252311386,0,-9.71445146547012e-17,0.0,True,False,True
12,original_calendar_aligned,6.6,capacity_historical_peak,upper_bound,peak_sensitive,0.0,0,0.0,0.0,True,False,False
12,original_calendar_aligned,6.6,capacity_historical_peak,upper_bound,point_forecast,0.0,0,0.0,0.0,True,False,False
12,original_calendar_aligned,6.6,capacity_historical_peak,upper_bound,uncontrolled,25.59118217534745,0,-6.938893903907228e-18,0.0,True,False,False
12,original_calendar_aligned,6.6,capacity_historical_peak,upper_bound,valley_filling,-25.725322252311386,0,-9.71445146547012e-17,0.0,True,False,True
13,original_calendar_aligned,6.6,capacity_mean_plus_2std,eahpa_point,peak_sensitive,0.0,0,-6.938893903907228e-18,0.0,False,False,False
13,original_calendar_aligned,6.6,capacity_mean_plus_2std,eahpa_point,point_forecast,0.0,0,-6.938893903907228e-18,0.0,False,False,False
13,original_calendar_aligned,6.6,capacity_mean_plus_2std,eahpa_point,uncontrolled,43.256843870112604,-198,2.0816681711721685e-17,0.0,False,False,False
13,original_calendar_aligned,6.6,capacity_mean_plus_2std,eahpa_point,valley_filling,-8.05966055754623,7,-7.632783294297951e-17,0.0,False,False,False
14,original_calendar_aligned,6.6,capacity_mean_plus_2std,prc_peak_sensitive,peak_sensitive,0.0,0,-6.938893903907228e-18,0.0,False,False,False
14,original_calendar_aligned,6.6,capacity_mean_plus_2std,prc_peak_sensitive,point_forecast,0.0,0,-6.938893903907228e-18,0.0,False,False,False
14,original_calendar_aligned,6.6,capacity_mean_plus_2std,prc_peak_sensitive,uncontrolled,43.256843870112604,-198,2.0816681711721685e-17,0.0,False,False,False
14,original_calendar_aligned,6.6,capacity_mean_plus_2std,prc_peak_sensitive,valley_filling,-8.05966055754623,7,-7.632783294297951e-17,0.0,False,False,False
15,original_calendar_aligned,6.6,capacity_mean_plus_2std,upper_bound,peak_sensitive,0.0,0,-6.938893903907228e-18,0.0,False,False,False
15,original_calendar_aligned,6.6,capacity_mean_plus_2std,upper_bound,point_forecast,0.0,0,-6.938893903907228e-18,0.0,False,False,False
