site_id,synthetic_session_id,adjustment_type,original_energy_kwh,final_energy_kwh,final_dwell_hours
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000005,increased_dwell_to_make_energy_feasible,4.299,13.233,2.0050000000000003
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000006,increased_dwell_to_make_energy_feasible,5.828464755076334,14.768,2.2375757575757578
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000019,increased_dwell_to_make_energy_feasible,13.924,4.787,0.7253030303030303
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000026,increased_dwell_to_make_energy_feasible,0.797,13.9,2.1060606060606064
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000032,increased_dwell_to_make_energy_feasible,5.371986260452743,12.205,1.8492424242424244
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000035,increased_dwell_to_make_energy_feasible,4.768,13.902,2.1063636363636364
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000042,increased_dwell_to_make_energy_feasible,9.222,12.317,1.8662121212121214
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000052,increased_dwell_to_make_energy_feasible,8.14,11.84,1.793939393939394
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000059,increased_dwell_to_make_energy_feasible,5.64,14.257,2.160151515151515
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000063,increased_dwell_to_make_energy_feasible,13.207,12.934,1.9596969696969697
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000077,increased_dwell_to_make_energy_feasible,6.685,13.88,2.1030303030303035
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000082,increased_dwell_to_make_energy_feasible,13.905,10.268,1.555757575757576
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000086,increased_dwell_to_make_energy_feasible,13.937,39.406,5.970606060606061
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000089,increased_dwell_to_make_energy_feasible,13.206,10.286,1.5584848484848486
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000090,increased_dwell_to_make_energy_feasible,12.393,13.944,2.112727272727273
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000098,increased_dwell_to_make_energy_feasible,13.29,26.054,3.9475757575757577
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000102,increased_dwell_to_make_energy_feasible,13.832,13.948388055555556,2.11339212962963
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000106,increased_dwell_to_make_energy_feasible,15.55,20.31,3.077272727272727
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000116,increased_dwell_to_make_energy_feasible,10.477,12.353,1.8716666666666668
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000123,increased_dwell_to_make_energy_feasible,3.948,16.486,2.497878787878788
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000125,increased_dwell_to_make_energy_feasible,6.139,12.714,1.9263636363636365
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000134,increased_dwell_to_make_energy_feasible,6.524,4.679,0.708939393939394
Arroyo_Garage_01,11D_SYN_Arroyo_Garage_01_0000138,increased_dwell_to_make_energy_feasible,12.553,11.37,1.7227272727272727
