capacity_scenario,strategy,session_source,sessions_total,real_sessions_count,synthetic_sessions_count,total_energy_requested_kwh,total_energy_delivered_kwh,unserved_energy_kwh,unserved_energy_percent,sessions_fully_served_percent,average_delay_hours
capacity_mean_plus_2std,hybrid_uncertainty_peak,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.4047875540094723
capacity_mean_plus_2std,hybrid_uncertainty_peak,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.556175143210532
capacity_mean_plus_2std,peak_sensitive,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.4060658498602137
capacity_mean_plus_2std,peak_sensitive,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.553910645201937
capacity_mean_plus_2std,point_forecast,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.4060658498602137
capacity_mean_plus_2std,point_forecast,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.555203436370492
capacity_mean_plus_2std,uncertainty_aware,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.404591921669794
capacity_mean_plus_2std,uncertainty_aware,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.5550459038744564
capacity_mean_plus_2std,uncontrolled,real,9079,9079,0,79342.95940747308,79311.12407413973,31.835333333350718,0.04012370293608211,98.81044167859896,0.1632392947246224
capacity_mean_plus_2std,uncontrolled,synthetic_empirical,12256,0,12256,93584.16509494887,93579.70676161553,4.458333333343035,0.004763982591306646,99.98368146214099,0.08128086837416788
capacity_mean_plus_2std,valley_filling,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.70275818181454
capacity_mean_plus_2std,valley_filling,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,4.019634297958051
capacity_p95,hybrid_uncertainty_peak,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.3951259805607625
capacity_p95,hybrid_uncertainty_peak,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.553892031694581
capacity_p95,peak_sensitive,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.396250384272111
capacity_p95,peak_sensitive,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.5515959541320994
capacity_p95,point_forecast,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.396250384272111
capacity_p95,point_forecast,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.552389537367442
capacity_p95,uncertainty_aware,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.394930348221085
capacity_p95,uncertainty_aware,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.552232006581513
capacity_p95,uncontrolled,real,9079,9079,0,79342.95940747308,79311.12407413973,31.835333333350718,0.04012370293608211,98.81044167859896,0.1632392947246224
capacity_p95,uncontrolled,synthetic_empirical,12256,0,12256,93584.16509494887,93579.70676161553,4.458333333343035,0.004763982591306646,99.98368146214099,0.08128086837416788
capacity_p95,valley_filling,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.702607370506643
capacity_p95,valley_filling,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,4.019611941164097
capacity_p95_plus_10percent,hybrid_uncertainty_peak,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.3886170611387496
capacity_p95_plus_10percent,hybrid_uncertainty_peak,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.516833321335397
capacity_p95_plus_10percent,peak_sensitive,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.3897414648500988
capacity_p95_plus_10percent,peak_sensitive,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.5156571771906324
capacity_p95_plus_10percent,point_forecast,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.3897414648500988
capacity_p95_plus_10percent,point_forecast,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.5155867916753687
capacity_p95_plus_10percent,uncertainty_aware,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.3884214287990715
capacity_p95_plus_10percent,uncertainty_aware,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,3.5154258478269957
capacity_p95_plus_10percent,uncontrolled,real,9079,9079,0,79342.95940747308,79311.12407413973,31.835333333350718,0.04012370293608211,98.81044167859896,0.1632392947246224
capacity_p95_plus_10percent,uncontrolled,synthetic_empirical,12256,0,12256,93584.16509494887,93579.70676161553,4.458333333343035,0.004763982591306646,99.98368146214099,0.08128086837416788
capacity_p95_plus_10percent,valley_filling,real,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,2.702607370506643
capacity_p95_plus_10percent,valley_filling,synthetic_empirical,12256,0,12256,93584.16509494887,93584.16509494887,0.0,0.0,100.0,4.019659392623249
