capacity_scenario,strategy,site_id,sessions_total,real_sessions_count,synthetic_sessions_count,total_energy_requested_kwh,total_energy_delivered_kwh,unserved_energy_kwh,unserved_energy_percent,sessions_fully_served_percent,peak_load_kw,mean_load_kw,load_std_kw,load_factor,ramp_rate_mean,ramp_rate_max,capacity_violation_hours,capacity_violation_percent,max_capacity_violation_kw,total_capacity_violation_kwh,average_delay_hours,uncontrolled_peak_load_kw,peak_reduction_kw_vs_uncontrolled,peak_reduction_percent_vs_uncontrolled
capacity_mean_plus_2std,hybrid_uncertainty_peak,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,116.64360606051338,37.20325173023464,24.057402936870695,0.31894805884974115,14.936527073162928,100.39511088451188,0,0.0,0.0,0.0,4.43863921046024,243.35788108868672,126.71427502817335,52.069106807350515
capacity_mean_plus_2std,hybrid_uncertainty_peak,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,126.62144288689369,33.13984691294306,27.062280384422277,0.2617238135767073,13.36934145494771,101.11314814853247,5,0.14806040864672787,25.508294738361215,73.42687362970871,2.4047875540094723,216.23802760061312,89.61658471371943,41.44348970812816
capacity_mean_plus_2std,hybrid_uncertainty_peak,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,70.97310918970614,20.14316163464512,19.66070536550231,0.2838139946892261,15.126274946223768,69.2997758563728,4,0.1505457282649605,1.673333333333332,3.4083787452331364,3.5509861763224504,155.72596666912406,84.75285747941793,54.42435792323256
capacity_mean_plus_2std,hybrid_uncertainty_peak,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,105.90781515333133,26.838928728047456,24.851808246587098,0.25341783030072484,21.43182818321774,87.14157706760275,2,0.15117157974300832,18.766238085728574,19.423738085728573,3.1274562123990046,180.9154048136013,75.00758966026997,41.460034725926704
capacity_mean_plus_2std,hybrid_uncertainty_peak,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.735626514362002,3.0350227185953456,3.935438652698509,0.19287587410804788,2.1526696638537617,14.182681542355645,1,0.0449842555105713,1.5529449720063564,1.5529449720063564,2.7552558335046813,39.274166666666666,23.538540152304662,59.93390095857242
capacity_mean_plus_2std,hybrid_uncertainty_peak,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.768816602531686,4.282419299988005,5.306762252577693,0.16618610648838542,3.214875106933571,18.43796380491152,4,0.1810774105930285,7.330852797620167,13.036821857684462,3.7230780474809833,51.527813813786366,25.75899721125468,49.990471756367846
capacity_mean_plus_2std,peak_sensitive,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,116.64360606051338,37.20036559162077,24.060727818492143,0.31892331562796206,14.939906611116724,98.87377081564446,0,0.0,0.0,0.0,4.43845583845662,243.35788108868672,126.71427502817335,52.069106807350515
capacity_mean_plus_2std,peak_sensitive,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,126.62144288689369,33.1232755334844,27.048159674254382,0.26159294017105944,13.349947907085417,101.11314814853247,5,0.14806040864672787,25.508294738361215,73.42687362970871,2.4060658498602137,216.23802760061312,89.61658471371943,41.44348970812816
capacity_mean_plus_2std,peak_sensitive,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,70.97310918970614,20.14076191005399,19.666639802407577,0.28378018294533425,15.151205483153378,69.2997758563728,4,0.1505457282649605,1.673333333333332,3.4083787452331364,3.5504988008250398,155.72596666912406,84.75285747941793,54.42435792323256
capacity_mean_plus_2std,peak_sensitive,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,105.90781515333133,26.802792351123234,24.799891694937244,0.25307662434843603,21.424375909204347,87.14157706760275,2,0.15117157974300832,18.766238085728574,19.423738085728573,3.1199199360016907,180.9154048136013,75.00758966026997,41.460034725926704
capacity_mean_plus_2std,peak_sensitive,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.735626514362002,3.0350227185953456,3.935438652698509,0.19287587410804788,2.1526696638537617,14.182681542355645,1,0.0449842555105713,1.5529449720063564,1.5529449720063564,2.7552558335046813,39.274166666666666,23.538540152304662,59.93390095857242
capacity_mean_plus_2std,peak_sensitive,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.768816602531686,4.278859202355956,5.301736954921594,0.1660479512254969,3.212912338096918,18.43796380491152,4,0.1810774105930285,7.330852797620167,13.036821857684462,3.7241532345185875,51.527813813786366,25.75899721125468,49.990471756367846
capacity_mean_plus_2std,point_forecast,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,116.64360606051338,37.20325173023464,24.057402936870695,0.31894805884974115,14.936527073162928,100.39511088451188,0,0.0,0.0,0.0,4.43863921046024,243.35788108868672,126.71427502817335,52.069106807350515
capacity_mean_plus_2std,point_forecast,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,126.62144288689369,33.1232755334844,27.048159674254382,0.26159294017105944,13.349947907085417,101.11314814853247,5,0.14806040864672787,25.508294738361215,73.42687362970871,2.4060658498602137,216.23802760061312,89.61658471371943,41.44348970812816
capacity_mean_plus_2std,point_forecast,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,70.97310918970614,20.140555280528147,19.65442284129116,0.2837772715676561,15.10820095431314,69.2997758563728,4,0.1505457282649605,1.673333333333332,3.4083787452331364,3.551491411074808,155.72596666912406,84.75285747941793,54.42435792323256
capacity_mean_plus_2std,point_forecast,N_Wilson_Garage_01,3419,0,3419,26143.55203129621,26143.55203129621,0.0,0.0,100.0,105.90781515333133,26.844762555840084,24.91710031090457,0.25347291431680224,21.395360297100602,87.14157706760275,2,0.15117157974300832,18.766238085728574,19.423738085728573,3.1228666673732324,180.9154048136013,75.00758966026997,41.460034725926704
capacity_mean_plus_2std,point_forecast,Parking_Lot_01,648,0,648,4973.161769623605,4973.161769623605,0.0,0.0,100.0,15.735626514362002,3.0350227185953456,3.935438652698509,0.19287587410804788,2.1526696638537617,14.182681542355645,1,0.0449842555105713,1.5529449720063564,1.5529449720063564,2.7552558335046813,39.274166666666666,23.538540152304662,59.93390095857242
capacity_mean_plus_2std,point_forecast,S_Wilson_Garage_01,871,0,871,7007.257207123628,7007.257207123628,0.0,0.0,100.0,25.768816602531686,4.277978798504949,5.302313132319645,0.16601378575082312,3.226774810669966,18.43796380491152,4,0.1810774105930285,7.330852797620167,13.036821857684462,3.7244025928254842,51.527813813786366,25.75899721125468,49.990471756367846
capacity_mean_plus_2std,uncertainty_aware,Arroyo_Garage_01,2115,0,2115,16014.722791920507,16014.722791920507,0.0,0.0,100.0,116.64360606051338,37.20325173023464,24.057402936870695,0.31894805884974115,14.936527073162928,100.39511088451188,0,0.0,0.0,0.0,4.43863921046024,243.35788108868672,126.71427502817335,52.069106807350515
capacity_mean_plus_2std,uncertainty_aware,California_Garage_01,9079,9079,0,79342.95940747308,79341.89974080642,1.0596666666679084,0.0013355522337223302,99.98898557109814,126.62144288689369,33.14030074307895,27.062145714616182,0.2617273977258494,13.364520998943465,101.11314814853247,5,0.14806040864672787,25.508294738361215,73.42687362970871,2.404591921669794,216.23802760061312,89.61658471371943,41.44348970812816
capacity_mean_plus_2std,uncertainty_aware,California_Garage_02,5203,0,5203,39445.471294984905,39445.471294984905,0.0,0.0,100.0,70.97310918970614,20.140807835746696,19.653596764955978,0.28378083003115634,15.105491662542235,69.2997758563728,4,0.1505457282649605,1.673333333333332,3.4083787452331364,3.551342767602681,155.72596666912406,84.75285747941793,54.42435792323256
