capacity_scenario,strategy,sessions_total,real_sessions_count,synthetic_sessions_count,total_energy_requested_kwh,total_energy_delivered_kwh,unserved_energy_kwh,unserved_energy_percent,sessions_fully_served_percent,peak_load_kw,mean_load_kw,load_std_kw,load_factor,ramp_rate_mean,ramp_rate_max,capacity_violation_hours,capacity_violation_percent,max_capacity_violation_kw,total_capacity_violation_kwh,average_delay_hours,uncontrolled_peak_load_kw,peak_reduction_kw_vs_uncontrolled,peak_reduction_percent_vs_uncontrolled
capacity_mean_plus_2std,valley_filling,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,247.43517515781863,73.16076953443701,48.350512735094604,0.2956765119905597,8.739531585920172,74.49957385834412,6,0.048406615570794675,6.600000000000001,21.343472712298247,3.4592444100524062,558.3636555830537,310.9284804252351,55.68565885624446
capacity_mean_plus_2std,hybrid_uncertainty_peak,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,339.6886488612015,70.00392420592894,53.10592963578024,0.20608261253537766,25.388612051682856,222.98449570729716,16,0.1290843081887858,25.508294738361215,110.84875729036123,3.0662080505291907,558.3636555830537,218.67500672185224,39.16354593199798
capacity_mean_plus_2std,peak_sensitive,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,339.6886488612015,69.96894777514318,53.032648974739416,0.20597964639004715,25.34746703446596,222.98449570729716,16,0.1290843081887858,25.508294738361215,110.84875729036123,3.065451170305874,558.3636555830537,218.67500672185224,39.16354593199798
capacity_mean_plus_2std,point_forecast,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,339.6886488612015,69.98494711920958,53.12938769726027,0.20602674641567367,25.376699200109474,222.98449570729716,16,0.1290843081887858,25.508294738361215,110.84875729036123,3.066193820812637,558.3636555830537,218.67500672185224,39.16354593199798
capacity_mean_plus_2std,uncertainty_aware,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,339.6886488612015,70.00256031849473,53.1359612716459,0.20607859742495585,25.39363065263418,222.98449570729716,16,0.1290843081887858,25.508294738361215,110.84875729036123,3.0654761028697166,558.3636555830537,218.67500672185224,39.16354593199798
capacity_mean_plus_2std,uncontrolled,21335,9079,12256,172927.12450242194,172890.83083575527,36.29366666666465,0.02098783910915973,99.48441528005624,558.3636555830537,71.6195475959795,73.8288463731594,0.12826685060866477,23.556896352052163,220.92123868738315,666,5.373134328358209,126.71427502817335,14831.506146832086,0.11615785702360666,558.3636555830537,0.0,0.0
capacity_p95,valley_filling,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,247.43517515781863,73.1605445511596,48.35791612087783,0.29567560272906424,8.743409469995651,74.49957385834412,5,0.04033884630899556,6.600000000000001,18.82670403425275,3.4591673900978206,558.3636555830537,310.9284804252351,55.68565885624446
capacity_p95,hybrid_uncertainty_peak,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,350.0514661080076,70.05381732528672,53.43240841920519,0.20012433629879944,25.594303942939444,214.23092186571444,16,0.1290843081887858,18.388128712212037,82.64477508300249,3.060785072320597,558.3636555830537,208.31218947504613,37.30761975500047
capacity_p95,peak_sensitive,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,350.0514661080076,70.01729204681136,53.36370633543965,0.2000199937034621,25.558579089265653,214.23092186571444,16,0.1290843081887858,18.388128712212037,82.64477508300249,3.0599445630489575,558.3636555830537,208.31218947504613,37.30761975500047
capacity_p95,point_forecast,21335,9079,12256,172927.12450242194,172926.06483575527,1.0596666666679084,0.0006127822166227411,99.99531286618233,350.0514661080076,70.03656813596189,53.462509517848396,0.2000750601465907,25.576129969353236,214.23092186571444,16,0.1290843081887858,18.388128712212037,82.64477508300249,3.0604004410021965,558.3636555830537,208.31218947504613,37.30761975500047
