capacity_scenario,strategy,session_key,session_id,site_id,arrival_time,departure_time,energy_requested_kwh,energy_delivered_kwh,unserved_energy_kwh,fully_served,max_charging_power_kw,session_source,scenario_type,average_delay_hours
capacity_p95,uncontrolled,11E_ROW_0002159,2_39_88_438_2018-04-26 00:05:36.143402,California_Garage_01,2020-07-15 22:05:36+00:00,2020-07-15 22:31:05+00:00,2.87,2.8031666666666664,0.06683333333333374,False,6.6,real,synthetic_multisite_scenario,-0.09333333333333334
capacity_p95,uncontrolled,11E_ROW_0002218,2_39_138_29_2018-04-27 03:29:59.143244,California_Garage_01,2020-07-17 01:29:59+00:00,2020-07-17 02:19:11+00:00,5.56,5.412000000000001,0.1479999999999988,False,6.6,real,synthetic_multisite_scenario,-0.1098170731707317
capacity_p95,uncontrolled,11E_ROW_0002273,2_39_131_30_2018-04-28 14:51:32.982840,California_Garage_01,2020-07-18 12:51:33+00:00,2020-07-18 14:50:53+00:00,13.508,13.126666666666665,0.38133333333333397,False,6.6,real,synthetic_multisite_scenario,0.49641992551210434
capacity_p95,uncontrolled,11E_ROW_0002281,2_39_131_30_2018-04-28 18:10:25.715156,California_Garage_01,2020-07-18 16:10:26+00:00,2020-07-18 17:24:39+00:00,8.469,8.163833333333333,0.3051666666666666,False,6.6,real,synthetic_multisite_scenario,0.15824675000623803
capacity_p95,uncontrolled,11E_ROW_0002297,2_39_131_30_2018-04-29 02:36:09.068992,California_Garage_01,2020-07-19 00:36:09+00:00,2020-07-19 02:36:48+00:00,13.619,13.2715,0.34750000000000014,False,6.6,real,synthetic_multisite_scenario,0.5048352673021135
capacity_p95,uncontrolled,11E_ROW_0002302,2_39_125_21_2018-04-29 17:59:13.994691,California_Garage_01,2020-07-19 15:59:14+00:00,2020-07-19 17:28:30+00:00,10.047,9.819333333333333,0.2276666666666678,False,6.6,real,synthetic_multisite_scenario,0.32345738942826324
capacity_p95,uncontrolled,11E_ROW_0002311,2_39_127_19_2018-04-29 20:26:32.616385,California_Garage_01,2020-07-19 18:26:33+00:00,2020-07-19 19:45:25+00:00,8.84,8.675333333333333,0.16466666666666718,False,6.6,real,synthetic_multisite_scenario,0.13336644125105662
capacity_p95,uncontrolled,11E_ROW_0002374,2_39_125_21_2018-05-01 01:35:22.341341,California_Garage_01,2020-07-20 23:35:22+00:00,2020-07-21 01:11:51+00:00,10.868,10.613166666666666,0.2548333333333339,False,6.6,real,synthetic_multisite_scenario,0.2780628970653154
capacity_p95,uncontrolled,11E_ROW_0002430,2_39_95_27_2018-05-02 04:06:36.985133,California_Garage_01,2020-07-22 02:06:37+00:00,2020-07-22 03:16:06+00:00,7.9,7.643166666666666,0.2568333333333346,False,6.6,real,synthetic_multisite_scenario,0.12143246448655419
capacity_p95,uncontrolled,11E_ROW_0002486,2_39_131_30_2018-05-03 03:52:20.938980,California_Garage_01,2020-07-23 01:52:21+00:00,2020-07-23 03:10:54+00:00,8.869,8.6405,0.22850000000000037,False,6.6,real,synthetic_multisite_scenario,0.16887492043284535
capacity_p95,uncontrolled,11E_ROW_0002558,2_39_139_28_2018-05-04 12:24:38.546177,California_Garage_01,2020-07-24 10:24:39+00:00,2020-07-24 10:51:06+00:00,2.98,2.9095,0.07050000000000001,False,6.6,real,synthetic_multisite_scenario,-0.4108333333333333
capacity_p95,uncontrolled,11E_ROW_0002628,2_39_128_18_2018-05-05 12:07:30.937074,California_Garage_01,2020-07-25 10:07:31+00:00,2020-07-25 10:40:02+00:00,3.74,3.576833333333333,0.16316666666666713,False,6.6,real,synthetic_multisite_scenario,-0.12527777777777777
capacity_p95,uncontrolled,11E_ROW_0002633,2_39_123_23_2018-05-05 15:03:41.867372,California_Garage_01,2020-07-25 13:03:42+00:00,2020-07-25 14:06:04+00:00,6.94,6.860333333333333,0.07966666666666722,False,6.6,real,synthetic_multisite_scenario,0.0356075182611794
capacity_p95,uncontrolled,11E_ROW_0002637,2_39_128_18_2018-05-05 16:41:55.225862,California_Garage_01,2020-07-25 14:41:55+00:00,2020-07-25 16:30:45+00:00,12.381,11.971666666666664,0.4093333333333362,False,6.6,real,synthetic_multisite_scenario,0.41777480006806195
capacity_p95,uncontrolled,11E_ROW_0002657,2_39_129_17_2018-05-06 03:17:24.542130,California_Garage_01,2020-07-26 01:17:25+00:00,2020-07-26 02:28:17+00:00,8.065,7.795333333333334,0.26966666666666583,False,6.6,real,synthetic_multisite_scenario,0.10882852513849688
capacity_p95,uncontrolled,11E_ROW_0002664,2_39_78_366_2018-05-06 16:13:04.844324,California_Garage_01,2020-07-26 14:13:05+00:00,2020-07-26 17:51:16+00:00,24.198,24.000166666666665,0.1978333333333353,False,6.6,real,synthetic_multisite_scenario,1.3118504867635952
capacity_p95,uncontrolled,11E_ROW_0002680,2_39_124_22_2018-05-07 01:29:10.068137,California_Garage_01,2020-07-26 23:29:10+00:00,2020-07-27 00:48:15+00:00,8.849,8.699166666666667,0.14983333333333348,False,6.6,real,synthetic_multisite_scenario,0.12400480037466341
capacity_p95,uncontrolled,11E_ROW_0002683,2_39_79_376_2018-05-07 02:08:38.595809,California_Garage_01,2020-07-27 00:08:39+00:00,2020-07-27 02:29:14+00:00,16.038,15.464166666666667,0.573833333333333,False,6.6,real,synthetic_multisite_scenario,0.6985126457221893
capacity_p95,uncontrolled,11E_ROW_0002719,2_39_88_24_2018-05-07 20:47:51.748001,California_Garage_01,2020-07-27 18:47:52+00:00,2020-07-27 18:54:03+00:00,2.42,0.6801666666666666,1.7398333333333333,False,6.6,real,synthetic_multisite_scenario,-0.7977777777777779
capacity_p95,uncontrolled,11E_ROW_0002736,2_39_78_360_2018-05-08 01:44:55.169977,California_Garage_01,2020-07-27 23:44:55+00:00,2020-07-28 01:31:21+00:00,11.965,11.707666666666665,0.2573333333333352,False,6.6,real,synthetic_multisite_scenario,0.4042232139750149
capacity_p95,uncontrolled,11E_ROW_0002737,2_39_127_19_2018-05-08 01:46:42.477648,California_Garage_01,2020-07-27 23:46:42+00:00,2020-07-28 01:44:44+00:00,13.217,12.983666666666664,0.23333333333333606,False,6.6,real,synthetic_multisite_scenario,0.4879756189400358
capacity_p95,uncontrolled,11E_ROW_0002739,2_39_125_21_2018-05-08 03:25:28.304874,California_Garage_01,2020-07-28 01:25:28+00:00,2020-07-28 03:21:04+00:00,12.924,12.716000000000001,0.2079999999999984,False,6.6,real,synthetic_multisite_scenario,0.45906189926951163
capacity_p95,uncontrolled,11E_ROW_0002744,2_39_92_436_2018-05-08 05:19:35.281335,California_Garage_01,2020-07-28 03:19:35+00:00,2020-07-28 04:31:30+00:00,8.163,7.910833333333334,0.25216666666666665,False,6.6,real,synthetic_multisite_scenario,0.11161806360242046
capacity_p95,uncontrolled,11E_ROW_0002804,2_39_138_29_2018-05-09 03:14:17.346791,California_Garage_01,2020-07-29 01:14:17+00:00,2020-07-29 02:34:13+00:00,9.014,8.792666666666666,0.22133333333333383,False,6.6,real,synthetic_multisite_scenario,0.19000949865628763
capacity_p95,uncontrolled,11E_ROW_0002808,2_39_131_30_2018-05-09 12:18:17.418387,California_Garage_01,2020-07-29 10:18:17+00:00,2020-07-29 10:45:25+00:00,3.075,2.9846666666666666,0.0903333333333336,False,6.6,real,synthetic_multisite_scenario,-0.3047222222222222
capacity_p95,uncontrolled,11E_ROW_0002922,2_39_88_438_2018-05-11 00:28:32.753451,California_Garage_01,2020-07-30 22:28:33+00:00,2020-07-30 23:25:14+00:00,6.386,6.235166666666666,0.15083333333333382,False,6.6,real,synthetic_multisite_scenario,-0.03067014603547976
