strategy,site_id,peak_load_kw,mean_load_kw,load_std_kw,load_variance,load_factor,ramp_rate_mean,ramp_rate_max,capacity_violation_hours,capacity_violation_percent,max_capacity_violation_kw,site_capacity_kw,total_energy_requested_kwh,total_energy_delivered_kwh,unserved_energy_kwh,sessions_total,sessions_fully_served,average_delay_hours,unserved_energy_percent,sessions_fully_served_percent,charging_completion_rate,uncontrolled_peak_load_kw,peak_reduction_kw_vs_uncontrolled,peak_reduction_percent_vs_uncontrolled
peak_sensitive,Arroyo_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,102.71445357392798,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
peak_sensitive,California_Garage_01,129.60282362617195,33.1658889813173,27.453839154353133,753.7132843130931,0.2559040617585726,13.644664138603202,112.21842513944819,5,0.14806040864672787,17.384398486723782,112.21842513944817,79676.49483542707,79644.65950209374,31.83533333333424,9110.0,9002.0,2.534947109386671,0.0399557402708171,98.81448957189902,98.81448957189902,222.8380276006132,93.23520397444125,41.83989823386172
peak_sensitive,California_Garage_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.68586185087453,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
peak_sensitive,N_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,93.67172655462235,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
peak_sensitive,Parking_Lot_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.875171095631584,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
peak_sensitive,S_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.672576638251567,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
point_forecast,Arroyo_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,102.71445357392798,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
point_forecast,California_Garage_01,129.60282362617195,33.1658889813173,27.453839154353133,753.7132843130931,0.2559040617585726,13.644664138603202,112.21842513944819,5,0.14806040864672787,17.384398486723782,112.21842513944817,79676.49483542707,79644.65950209374,31.83533333333424,9110.0,9002.0,2.534947109386671,0.0399557402708171,98.81448957189902,98.81448957189902,222.8380276006132,93.23520397444125,41.83989823386172
point_forecast,California_Garage_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.68586185087453,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
point_forecast,N_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,93.67172655462235,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
point_forecast,Parking_Lot_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.875171095631584,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
point_forecast,S_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.672576638251567,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncertainty_aware,Arroyo_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,102.71445357392798,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncertainty_aware,California_Garage_01,129.60282362617195,33.17030853202252,27.438299098503116,752.8602574189168,0.25593816248710277,13.648105517151581,112.21842513944819,5,0.14806040864672787,17.384398486723782,112.21842513944817,79676.49483542707,79644.65950209374,31.835333333334233,9110.0,9002.0,2.5305968698115535,0.03995574027081709,98.81448957189902,98.81448957189902,222.8380276006132,93.23520397444125,41.83989823386172
uncertainty_aware,California_Garage_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.68586185087453,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncertainty_aware,N_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,93.67172655462235,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncertainty_aware,Parking_Lot_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.875171095631584,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncertainty_aware,S_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.672576638251567,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncontrolled,Arroyo_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,102.71445357392798,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncontrolled,California_Garage_01,222.8380276006132,33.2088325867297,34.115915332390564,1163.8956789668414,0.14902677493739544,14.427708951224117,141.67500542223445,169,5.004441812259402,110.61960246116503,112.21842513944817,79676.49483542707,79644.65950209374,31.835333333334248,9110.0,9002.0,0.16378837130530452,0.0399557402708171,98.81448957189902,98.81448957189902,222.8380276006132,0.0,0.0
uncontrolled,California_Garage_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.68586185087453,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncontrolled,N_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,93.67172655462235,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncontrolled,Parking_Lot_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.875171095631584,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
uncontrolled,S_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.672576638251567,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
valley_filling,Arroyo_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,102.71445357392798,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
valley_filling,California_Garage_01,108.4853413004369,34.13997183906117,20.71901625650255,429.27763463721686,0.31469663486161403,5.5686478429644755,58.18953488372093,0,0.0,0.0,112.21842513944817,79676.49483542707,79644.65950209374,31.835333333334308,9110.0,9002.0,2.8594395125337426,0.03995574027081718,98.81448957189902,98.81448957189902,222.8380276006132,114.3526863001763,51.316504427658835
valley_filling,California_Garage_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,54.68586185087453,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
valley_filling,N_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,93.67172655462235,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
valley_filling,Parking_Lot_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.875171095631584,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
valley_filling,S_Wilson_Garage_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12.672576638251567,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
